kind,#,name,N_SentenceSize,N_SentenceSize (score),N_XMLSize,N_XMLSize (score),R_Stability,R_Stability (score),N_InEdgeCount,N_InEdgeCount (score),N_OutEdgeCount,N_OutEdgeCount (score),R_XMLSimilarity,R_XMLSimilarity (score),R_XMLUniqueness,R_XMLUniqueness (score),N_PointlessAbstraction,N_PointlessAbstraction (score),R_TextSimilarity,R_TextSimilarity (score),N_TextSize,N_TextSize (score),N_SubSectionWidth,N_SubSectionWidth (score),N_SubSectionDepth,N_SubSectionDepth (score),N_BrokenRefs,N_BrokenRefs (score),N_BackRefs,N_BackRefs (score),N_TextSimilar,N_TextSimilar (score),R_TextUniqueness,R_TextUniqueness (score)
file,6,Factor,4.0,0.1359360180461921,1197.0,0.1331475498779255,0.3333333333333333,1.0,2.0,0.7012410892866301,1.0,0.2410380019488179,0.0,0.0,0.0,0.0,5.0,0.6182111903174522,0.0,0.0,42.0,0.07554010062148565,2.0,0.6259683228894262,2.0,0.7021512804065723,2.0,0.9466854363962119,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,212,BMC Atrium Discovery 10.2 : text.toNumber,4.0,0.1359360180461921,2770.0,0.1970702113492318,0.75,0.0,3.0,0.8274014052002667,9.0,0.5838504538694292,0.0,0.0,0.0,0.0,2.0,0.4797169085594133,0.0,0.0,93.0,0.14666568018151327,2.0,0.44688409730103124,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,103,cn_02_02_000007b.xml,34.0,0.6264130629822358,250.0,0.10288786406569829,0.6666666666666666,1.0,2.0,0.7012410892866301,1.0,0.2410380019488179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.662696063924238,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,243,Locales - BMC Remedy IT Service Management Suite 8.0,3.0,0.11378841865114968,17716.0,0.6982662950997558,0.75,0.0,2.0,0.7012410892866301,6.0,0.4421508795322837,0.0,0.0,0.0,0.0,1.0,0.38701984717164983,0.10762230400473324,0.6826567355596113,97.0,0.14666568018151327,2.0,0.3559480929589974,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,891.0,0.848884901307357,0.10852713178294571,0.6193212647363489
file,229,Power drive unit 50CA (DMC-J3-A-34-50-01-00A-920A-A_011-00),114.0,0.7961856912152983,57608.0,0.8792571949986436,0.8387096774193549,0.0,5.0,0.9118159905636186,26.0,0.8651725729524591,0.05502392344497608,0.8013860800078922,0.055023923444976086,0.7838011147832092,69.0,0.9602030873378122,0.030328473653410702,0.6096285700192374,1439.0,0.7610979579757324,6.0,0.974564563082844,6.0,0.9974095820792421,0.0,0.01653442539032506,0.0,0.0,99.0,0.7567290438349141,0.17884130982367763,0.6605583781384107
file,521,dc_ne_sysattack_feature_0014.xml,21.0,0.4522057881110456,66.0,0.06513107598214506,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,0.5848377231922659,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,489,dc_vrp_network-monitor_feature_0003.xml,5.0,0.15531516751685423,306.0,0.105797923499963,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,1.0,0.995264637695457,1.0,1.0,0.0,0.0,1.0,1.0,197.0,0.30573641116701195,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,10,dc_vrp_udp-helper_feature_0004.xml,15.0,0.32595934480018457,180.0,0.0956127154800365,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.5896221761862483,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,47,cn_22_06_000069.xml,23.0,0.4938863397503268,249.0,0.10180275715800637,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23169398907103828,0.7742317367927786,235.0,0.3700552431685903,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,15.0,0.6951294539861574,0.29508196721311475,0.7338331771321462
file,195,sek1368522860344.xml,11.0,0.24892978903386223,80.0,0.07472440750696688,1.0,0.0,3.0,0.8274014052002667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.35444411561606,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,2.0,0.8835080794375231,0.0,0.0,0.0,0.0
file,253,BMC Atrium Discovery 10.1 : Managing security policies,50.0,0.7113634615877573,16962.0,0.691804976694863,0.42857142857142855,1.0,16.0,0.9792809887686548,12.0,0.6654700241038002,0.0,0.0,0.0,0.0,5.0,0.6182111903174522,0.0,0.0,877.0,0.6976176383545427,2.0,0.6259683228894262,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,432,Known issues for BMC Service Request Management - BMC Remedy IT Service Management Suite 8.0,63.0,0.743226269513727,40630.0,0.8286270931465635,0.8333333333333334,0.0,2.0,0.7012410892866301,10.0,0.6128262987845531,0.0,0.0,0.0,0.0,5.0,0.6182111903174522,0.03796541100791634,0.6096285700192374,1815.0,0.8006560126270099,2.0,0.6259683228894262,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,891.0,0.848884901307357,0.5604026845637584,0.8471365856064716
file,435,dc_ne_qos_feature_0040.xml,1.0,0.05144702776140063,10.0,0.028089471996843324,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03654927493341225,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,472,BMC Atrium Discovery 10.2 : Managing mapping sets,17.0,0.3623337007510702,8723.0,0.5837381932969987,0.6190476190476191,1.0,8.0,0.9502538591722652,13.0,0.7014975126929586,0.0,0.0,0.0,0.0,7.0,0.6765475152571927,0.13013698630136986,0.7116608296749372,449.0,0.5675742330077932,2.0,0.7142152267232447,2.0,0.7021512804065723,0.0,0.0,0.0,0.0,1.0,0.617098179953858,0.13013698630136983,0.6365362797809895
