FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.junit.tests.experimental.theories.runner.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.WithParameterSupplier.java.WithParameterSupplier.SimpleSupplier.getValueSources,getValueSources,0.18572603866721513,2,3,1,0,0,1,0.0,15,11,1.0,1,1,0,1,1,0.0,0
org.junit.internal.runners.statements.Throwables.java.FailOnTimeout.java.FailOnTimeout.Builder,Builder,0.0683189359659948,1,2,1,0,2,5,1.0,7,65,0.0,0,6,0,3,3,0.0,6
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.InheritedTestTest.java.InheritedTestTest.SubWithBefore,SubWithBefore,0.18572603866721513,1,1,1,1,0,1,0.0,13,6,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ClassRulesTest.java.ClassRulesTest.MethodExampleTestWithCustomClassRule,MethodExampleTestWithCustomClassRule,0.11740710270122036,1,1,1,0,1,0,0.5,36,18,1.0,0,4,0,3,3,1.0,3
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.InheritedTestTest.java.InheritedTestTest.Sub,Sub,0.18572603866721513,1,1,1,1,0,0,0.0,3,2,1.0,0,0,0,0,0,0.0,0
org.junit.runners.parameterized.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.TestWithParametersTest.java.TestWithParametersTest,TestWithParametersTest,0.04908816673522555,2,1,2,0,1,0,1.0,22,122,1.0,0,14,0,12,12,0.7121212121212122,12
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.InheritedTestTest.java.InheritedTestTest.Super,Super,0.18572603866721513,0,1,0,0,0,1,0.0,5,5,1.0,0,1,2,1,1,0.0,1
org.junit.tests.running.methods.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.InheritedTestTest.java.InheritedTestTest,InheritedTestTest,0.18572603866721513,2,1,2,0,0,4,0.0,17,28,1.0,0,2,0,2,2,0.0,2
org.junit.tests.experimental.theories.runner.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.WithParameterSupplier.java.WithParameterSupplier.SimplePotentialAssignment,SimplePotentialAssignment,0.18572603866721513,0,1,0,0,2,0,0.0,25,19,1.0,0,4,0,2,2,0.0,2
org.junit.tests.experimental.theories.runner.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.WithParameterSupplier.java.WithParameterSupplier.SimpleSupplier,SimpleSupplier,0.11740710270122036,4,3,4,0,1,14,1.0,14,15,1.0,0,5,0,4,4,0.0,4
